data,plataforma,conta_id,conta_versao,campanha_id,campanha_versao,adset_id,adset_versao,anuncio_id,anuncio_versao,spend,impressions,link_clicks,conversions,conversion_value,video_views,reach,profile_views,purchases,purchase_value,result_type,result_count,result_attribution_window,cost_per_result
2026-06-01,Google Ads,Cliente-474CCCE3,1,Campanha-1605BED1,1,AdSet-2C3F076D,1,Anuncio-281BA058,1,126.56,6703,171,8.228458,1618.24,290,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-474CCCE3,1,Campanha-1605BED1,1,AdSet-2C3F076D,1,Anuncio-B54E991E,1,679.85,8188,230,9.878039,2311.44,25,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-474CCCE3,1,Campanha-BAA2D61A,1,AdSet-ECF361B8,1,Anuncio-1BA82A24,1,252.23,8214,306,22.347796,5682.62,225,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-474CCCE3,1,Campanha-BAA2D61A,1,AdSet-F891FAAE,1,Anuncio-1039A314,1,851.3,14395,321,4.136796,703.01,607,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-026778BE,1,AdSet-4B62792C,1,Anuncio-A30083A9,1,291.02,7675,239,21.381069,1059.91,199,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-026778BE,1,AdSet-C451AA6E,1,Anuncio-2CF462B1,1,587.1,14727,402,20.954718,2195.95,719,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-ACFE35BB,1,AdSet-2FA08C4F,1,Anuncio-2FCC58DA,1,91.43,1259,27,1.698985,329.19,61,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-ACFE35BB,1,AdSet-E02677A8,1,Anuncio-E5CAFB1B,1,1418.53,18182,515,7.915807,1008.94,239,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-D03279CF,1,AdSet-38FD9C4C,1,Anuncio-BD202F4B,1,279.84,8742,237,10.260736,1329.22,376,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-6ED105CA,1,Campanha-D03279CF,1,AdSet-5DC66742,1,Anuncio-DEF80DD8,1,223.52,1624,64,4.798728,182.19,41,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-409E3907,1,AdSet-3E655550,1,Anuncio-D93BAE53,1,341.02,22097,454,23.762937,1933.53,1245,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-409E3907,1,AdSet-3F3A9FAC,1,Anuncio-7E3C39EB,1,503.88,4023,146,12.687144,828.02,36,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-409E3907,1,AdSet-3F3A9FAC,1,Anuncio-9E8F58AB,1,67.98,3468,42,1.858818,107.55,105,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-571CE57F,1,AdSet-D6A72598,1,Anuncio-08CD3708,1,99.06,1658,54,2.150324,304.91,86,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-86298F91,1,AdSet-1CAEFB1E,1,Anuncio-92C2AD5A,1,134.73,3071,122,3.724866,295.42,181,0,0,0,0,,,,
2026-06-01,Google Ads,Cliente-AD42A32D,1,Campanha-86298F91,1,AdSet-DC1F642E,1,Anuncio-5488E69D,1,34.29,2528,65,2.199352,112.87,93,0,0,0,0,,,,
2026-06-01,Meta Ads,Cliente-0D954560,1,Campanha-5AA632F6,1,AdSet-21718E81,1,Anuncio-ACD3E146,1,143.38,1351,48,2,0,326,944,0,0,0.0,actions:offsite_conversion.fb_pixel_lead,2,default,71.69000000
2026-06-01,Meta Ads,Cliente-0D954560,1,Campanha-5AA632F6,1,AdSet-F8D81242,1,Anuncio-A274723C,1,38.94,759,13,1,0,122,636,0,0,0.0,actions:offsite_conversion.fb_pixel_lead,1,default,38.94000000
2026-06-01,Meta Ads,Cliente-0D954560,1,Campanha-942DC529,1,AdSet-15C3C269,1,Anuncio-89F19D87,1,97.88,1008,32,0,0,106,799,0,0,0.0,,,,
2026-06-01,Meta Ads,Cliente-0D954560,1,Campanha-A1087A42,1,AdSet-20AD549D,1,Anuncio-E9DCB443,1,824.77,8527,270,3,0,1524,4942,0,1,249.19,actions:offsite_conversion.fb_pixel_lead,3,default,274.92333333
2026-06-01,Meta Ads,Cliente-1301E036,1,Campanha-6C8B5548,1,AdSet-6CA8CD14,1,Anuncio-09915A4E,1,170.16,2869,64,3,0,468,2043,0,1,38.13,,,,
2026-06-01,Meta Ads,Cliente-1301E036,1,Campanha-6C8B5548,1,AdSet-6CA8CD14,1,Anuncio-52861658,1,65.42,989,39,2,0,443,742,0,0,0.0,,,,
2026-06-01,Meta Ads,Cliente-1301E036,1,Campanha-D4F4B6F7,1,AdSet-B1087453,1,Anuncio-0888DFA2,1,720.46,14670,329,21,0,2402,11780,0,7,876.77,actions:offsite_conversion.fb_pixel_lead,21,default,34.30761905
2026-06-01,Meta Ads,Cliente-1301E036,1,Campanha-D4F4B6F7,1,AdSet-B1087453,1,Anuncio-AD28A55D,1,220.11,15457,318,13,0,4068,9049,0,4,506.31,actions:offsite_conversion.fb_pixel_lead,13,default,16.93153846
2026-06-01,Meta Ads,Cliente-1301E036,1,Campanha-D4F4B6F7,1,AdSet-B694B472,1,Anuncio-19D03D54,1,129.42,3861,79,1,0,1251,2849,0,0,0.0,actions:offsite_conversion.fb_pixel_lead,1,default,129.42000000
2026-06-01,Meta Ads,Cliente-8595A0B1,1,Campanha-7435AF3B,1,AdSet-909F3F76,1,Anuncio-DA061972,1,108.4,3344,59,2,0,1295,2533,0,0,0.0,video_thruplay_watched_actions,777,default,0.13951094
2026-06-01,Meta Ads,Cliente-8595A0B1,1,Campanha-80EA63AC,1,AdSet-839FE6F8,1,Anuncio-F7564EEF,1,398.16,3743,128,3,0,1303,2414,0,1,184.01,actions:offsite_conversion.fb_pixel_lead,3,default,132.72000000
2026-06-01,Meta Ads,Cliente-8595A0B1,1,Campanha-80EA63AC,1,AdSet-A9531AD0,1,Anuncio-AF9B4192,1,1102.14,15581,612,11,0,3952,8875,0,3,524.71,actions:offsite_conversion.fb_pixel_lead,11,default,100.19454545
2026-06-02,Google Ads,Cliente-474CCCE3,1,Campanha-1605BED1,1,AdSet-2C3F076D,1,Anuncio-B54E991E,1,413.82,5001,140,6.01272,1406.96,198,0,0,0,0,,,,
2026-06-02,Google Ads,Cliente-474CCCE3,1,Campanha-BAA2D61A,1,AdSet-ECF361B8,1,Anuncio-1BA82A24,1,260.47,8491,316,23.078116,5868.32,324,0,0,0,0,,,,
2026-06-02,Google Ads,Cliente-474CCCE3,1,Campanha-BAA2D61A,1,AdSet-F891FAAE,1,Anuncio-1039A314,1,318.24,5392,120,1.546466,262.81,75,0,0,0,0,,,,
2026-06-02,Google Ads,Cliente-6ED105CA,1,Campanha-026778BE,1,AdSet-4B62792C,1,Anuncio-A30083A9,1,465.14,12232,382,34.173926,1694.08,706,0,0,0,0,,,,
